PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,taxi_demand
-1.3748270632736097,0.5963443616975117,-3.576952107667221,0.7411327012786056,-1.0026098593396837,0.04862291157095037,2.6986198459326336,-0.6643558395432902,-1.0175705814431324,0.9019377501819896,760
-1.2914822636652878,0.59683459580211,-3.497593981085047,0.31711122926753693,-1.006256314665655,0.05198218492725629,2.70576522438185,-0.6624378632000486,-1.0125034473871997,0.8930376978723777,1196
-1.1166283654135711,0.5997330249543147,-3.4207443525524934,-0.2249626194856519,-1.003746412995341,0.03067855218298058,2.7325722109540362,-0.666203107812043,-1.0179163579229837,0.9145653808617378,1785
-0.847592466743374,0.5991369662387424,-3.3708223153580428,-0.6387067165247429,-1.0035192604352159,0.01303501552514278,2.7645753304618195,-0.6712251823373979,-1.0286253578122004,0.9446345016058639,2788
-0.4028728576227318,0.5943166749688458,-3.334159427438412,-1.0129255811640203,-1.005383049221202,-0.004698898057510303,2.8068020440294315,-0.6776858614729967,-1.0450645923839756,0.9865006587284162,3923
0.04706614380002521,0.5847240778405149,-3.300462127818587,-1.3374969646158898,-1.020016698440585,0.013975391437502406,2.847723874102067,-0.6766416805884821,-1.0569679151154685,1.0006790284887934,4730
0.5025162745407432,0.5765885858912935,-3.2859363698967248,-1.4722681011986674,-1.021264710997746,-0.0004236387551471368,2.8726916823797555,-0.6838480760182801,-1.0700125677168075,1.038158381062919,5209
0.6566774062616295,0.5703134323897774,-3.2652179809519364,-1.6464986848686984,-1.0380703714165886,0.036013225349179646,2.893188495086393,-0.6789154773923349,-1.0739134125436185,1.0267371660737117,5523
0.8875280104893654,0.5582407390474533,-3.2574948505428982,-1.6023115309841187,-1.0574852287530638,0.08370875048253604,2.89565005913451,-0.6726769035626042,-1.0719727066593998,1.0034422792518176,5536
1.0606106869378829,0.5504644477080425,-3.2794376161647194,-1.3820252162618767,-1.061394337383674,0.09173754979435514,2.889157334882214,-0.6765550745266005,-1.075851192326426,1.013152435117165,5840
1.4232632625447772,0.5345821632649213,-3.291876274589137,-1.0748069993471074,-1.0717462628833963,0.11744858520132764,2.8712532408690916,-0.6766892596752287,-1.0724330661412182,1.0054798633907014,5890
1.6599220383312707,0.5215275633406262,-3.3359480211137025,-0.5630269313122738,-1.0746230492113995,0.1282583211351434,2.841769369886373,-0.6815999062371165,-1.0710286662191497,1.0097036255160186,5505
1.8017925217566657,0.5117812413073859,-3.404415974414221,0.018362985559935464,-1.0734373378822228,0.12869256509138077,2.8162253318128436,-0.6899672136777246,-1.0755958069319898,1.0281453973949588,4910
1.8289738452256705,0.5092617184715067,-3.4766473938743236,0.46059146046367266,-1.0658013780552107,0.10834149172658195,2.8076035085322757,-0.7026102977847153,-1.0890888805027208,1.068890668316353,4068
1.7967662263687745,0.5137417392567775,-3.5434296093497735,0.726029163104243,-1.04928811905013,0.05922654844178236,2.8155912242507517,-0.7208068797636239,-1.1111649865835087,1.1366469417600382,3661
1.8086360457996817,0.5133612549160225,-3.5980640061209574,0.9519132337082029,-1.0458731935830927,0.04565005182646679,2.8250897912351673,-0.7308394364740359,-1.1277397404707037,1.1754983080640284,3234
1.7211162963361268,0.5179464085605275,-3.62627491897174,0.9254117798983109,-1.0436291469475756,0.03303976842321613,2.8478757784568036,-0.7386533217893945,-1.1450495105438696,1.2106835429108769,2381
1.5028457485882212,0.5222975038528646,-3.6703189545453836,1.077884448003297,-1.042806049992609,0.03211176431345356,2.8533356136584347,-0.7445833736672869,-1.1568308686096578,1.230482889375175,1784
-0.6001032560585798,0.7415390609914465,-3.880187216242724,1.4209487139091745,0.28211258905097436,-2.665216808081805,1.9167819507695196,-0.7016112285119958,-0.670800180677719,1.0369987761307273,1125
-0.8382748066178315,0.7489638195125203,-3.8477048352470304,1.16088811018604,0.28064441374725013,-2.661211412238766,1.924314390905878,-0.7015241096507774,-0.6719323755635774,1.0334766058252707,480
-1.097518699574454,0.7574776602867302,-3.783471673044397,0.7935165099043959,0.2807791277091747,-2.659291820144488,1.9226892527873811,-0.6997730261239175,-0.6655953275774018,1.018636148664335,253
-1.1891742047924314,0.7611931650477025,-3.699280137025132,0.3921884817570405,0.2782648667010818,-2.652343230512584,1.9172970631132786,-0.6962176136698026,-0.6547311426800848,0.9964211361725761,194
-1.1952923637253587,0.7599881061467223,-3.6261740318195863,0.13931290496833576,0.27257697322760127,-2.6352484747051164,1.902710112116333,-0.6914991914131529,-0.6410343009771082,0.9668881324652792,215
-1.1551823650388775,0.7584972587064733,-3.5555474886144913,-0.10593849789723332,0.2690741174452904,-2.6256243149394027,1.8897549511092713,-0.6886717646201783,-0.6292490911947763,0.9454361194840228,697
-0.9688234809675269,0.7581558589891364,-3.48462271266239,-0.48105333126798894,0.2711021917850589,-2.6404104377175526,1.897971086947293,-0.6914711080226696,-0.6281275974054414,0.9552906502422676,1678
